# break_thresholds=0.100000,0.200000,0.300000,0.400000,0.500000
side_scale,threshold,break_time_or_T,max_rel_change,break_pair
0.92244898,0.500000,24.88600000,6.91888393,1-3
0.92517007,0.100000,0.14600000,51.23500271,1-3
0.92517007,0.200000,0.28600000,51.23500271,1-3
0.92517007,0.300000,27.09800000,51.23500271,0-3
0.92517007,0.400000,28.93200000,51.23500271,1-2
0.92517007,0.500000,29.33600000,51.23500271,0-2
0.92789116,0.100000,0.15200000,37.39904080,1-3
0.92789116,0.200000,0.30400000,37.39904080,1-3
0.92789116,0.300000,28.30200000,37.39904080,1-2
0.92789116,0.400000,29.31800000,37.39904080,1-2
0.92789116,0.500000,30.63000000,37.39904080,1-3
0.93061224,0.100000,0.15800000,18.75032247,1-3
0.93061224,0.200000,0.33000000,18.75032247,0-3
0.93061224,0.300000,28.50400000,18.75032247,0-2
0.93061224,0.400000,28.91200000,18.75032247,1-2
0.93061224,0.500000,32.59400000,18.75032247,0-3
0.93333333,0.100000,0.16400000,6.45097934,1-3
0.93333333,0.200000,0.36200000,6.45097934,1-3
0.93333333,0.300000,29.79400000,6.45097934,0-2
0.93333333,0.400000,30.24600000,6.45097934,1-2
0.93333333,0.500000,34.14400000,6.45097934,1-2
0.93605442,0.100000,0.17200000,8.83409211,0-3
0.93605442,0.200000,0.44000000,8.83409211,1-3
0.93605442,0.300000,30.00200000,8.83409211,1-2
0.93605442,0.400000,30.80600000,8.83409211,0-2
0.93605442,0.500000,31.39200000,8.83409211,2-3
0.93877551,0.100000,0.18000000,1.85408938,1-3
0.93877551,0.200000,30.41000000,1.85408938,0-2
0.93877551,0.300000,32.03200000,1.85408938,0-1
0.93877551,0.400000,32.21200000,1.85408938,0-1
0.93877551,0.500000,37.34800000,1.85408938,2-3
0.94149660,0.100000,0.18800000,1.52246225,1-3
0.94149660,0.200000,28.94600000,1.52246225,0-1
0.94149660,0.300000,30.69200000,1.52246225,0-1
0.94149660,0.400000,30.98000000,1.52246225,1-2
0.94149660,0.500000,32.35000000,1.52246225,0-3
0.94421769,0.100000,0.19800000,4.91983908,0-3
0.94421769,0.200000,29.31000000,4.91983908,0-2
0.94421769,0.300000,29.86200000,4.91983908,1-2
0.94421769,0.400000,29.98000000,4.91983908,1-2
0.94421769,0.500000,31.90800000,4.91983908,0-3
0.94693878,0.100000,0.20800000,1.45055851,1-3
0.94693878,0.200000,28.87800000,1.45055851,1-2
0.94693878,0.300000,29.79400000,1.45055851,1-2
0.94693878,0.400000,30.61800000,1.45055851,0-2
0.94693878,0.500000,31.16000000,1.45055851,1-3
0.94965986,0.100000,0.22000000,1.48997867,1-3
0.94965986,0.200000,30.31000000,1.48997867,0-2
0.94965986,0.300000,31.22400000,1.48997867,0-2
0.94965986,0.400000,31.60000000,1.48997867,1-2
0.94965986,0.500000,34.38200000,1.48997867,1-3
0.95238095,0.100000,0.23400000,1.38602926,1-3
0.95238095,0.200000,14.42200000,1.38602926,1-2
0.95238095,0.300000,14.63000000,1.38602926,1-2
0.95238095,0.400000,14.72000000,1.38602926,1-2
0.95238095,0.500000,30.88000000,1.38602926,2-3
0.95510204,0.100000,0.25200000,1.45113612,1-3
0.95510204,0.200000,12.01000000,1.45113612,1-2
0.95510204,0.300000,12.13800000,1.45113612,1-2
0.95510204,0.400000,12.21800000,1.45113612,1-2
0.95510204,0.500000,20.22400000,1.45113612,1-3
0.95782313,0.100000,0.27400000,1.52290445,1-3
0.95782313,0.200000,13.61400000,1.52290445,1-2
0.95782313,0.300000,13.74800000,1.52290445,1-2
0.95782313,0.400000,13.82800000,1.52290445,1-2
0.95782313,0.500000,16.83400000,1.52290445,1-3
0.96054422,0.100000,0.30800000,1.45487327,0-3
0.96054422,0.200000,8.75800000,1.45487327,1-2
0.96054422,0.300000,8.87600000,1.45487327,1-2
0.96054422,0.400000,8.99400000,1.45487327,1-2
0.96054422,0.500000,17.07600000,1.45487327,2-3
0.96326531,0.100000,6.16800000,1.48104233,2-3
0.96326531,0.200000,7.30200000,1.48104233,0-1
0.96326531,0.300000,7.50200000,1.48104233,0-1
0.96326531,0.400000,7.59200000,1.48104233,0-1
0.96326531,0.500000,16.80600000,1.48104233,1-3
0.96598639,0.100000,6.28200000,1.44763070,0-1
0.96598639,0.200000,6.56600000,1.44763070,0-1
0.96598639,0.300000,6.72400000,1.44763070,0-1
0.96598639,0.400000,6.81000000,1.44763070,0-1
0.96598639,0.500000,11.62800000,1.44763070,2-3
0.96870748,0.100000,5.82600000,1.17781558,0-1
0.96870748,0.200000,6.06800000,1.17781558,0-1
0.96870748,0.300000,6.18800000,1.17781558,0-1
0.96870748,0.400000,6.29800000,1.17781558,0-1
0.96870748,0.500000,7.98400000,1.17781558,0-3
0.97142857,0.100000,5.40800000,1.20887851,1-2
0.97142857,0.200000,5.71200000,1.20887851,1-2
0.97142857,0.300000,5.86200000,1.20887851,1-2
0.97142857,0.400000,5.94800000,1.20887851,1-2
0.97142857,0.500000,9.61000000,1.20887851,0-3
0.97414966,0.100000,5.22200000,1.31891055,0-1
0.97414966,0.200000,5.40800000,1.31891055,0-1
0.97414966,0.300000,5.59400000,1.31891055,0-1
0.97414966,0.400000,5.69600000,1.31891055,0-1
0.97414966,0.500000,12.71800000,1.31891055,0-3
0.97687075,0.100000,5.03600000,1.24492884,1-2
0.97687075,0.200000,5.24200000,1.24492884,1-2
0.97687075,0.300000,5.38400000,1.24492884,1-2
0.97687075,0.400000,5.49800000,1.24492884,1-2
0.97687075,0.500000,16.22800000,1.24492884,0-3
0.97959184,0.100000,4.74400000,1.24853477,1-2
0.97959184,0.200000,5.11400000,1.24853477,1-2
0.97959184,0.300000,5.24200000,1.24853477,1-2
0.97959184,0.400000,5.34800000,1.24853477,1-2
0.97959184,0.500000,6.58200000,1.24853477,0-3
0.98231293,0.100000,4.62800000,1.25823232,0-1
0.98231293,0.200000,5.01000000,1.25823232,0-1
0.98231293,0.300000,5.14000000,1.25823232,0-1
0.98231293,0.400000,5.23800000,1.25823232,0-1
0.98231293,0.500000,7.39000000,1.25823232,0-3
0.98503401,0.100000,4.56400000,1.33496313,0-1
0.98503401,0.200000,4.92800000,1.33496313,0-1
0.98503401,0.300000,5.06400000,1.33496313,0-1
0.98503401,0.400000,5.15800000,1.33496313,0-1
0.98503401,0.500000,6.26800000,1.33496313,2-3
0.98775510,0.100000,4.51600000,1.22911686,0-1
0.98775510,0.200000,4.86600000,1.22911686,0-1
0.98775510,0.300000,5.01000000,1.22911686,0-1
0.98775510,0.400000,5.10400000,1.22911686,0-1
0.98775510,0.500000,6.17600000,1.22911686,2-3
0.99047619,0.100000,4.48200000,1.18091189,0-1
0.99047619,0.200000,4.82800000,1.18091189,0-1
0.99047619,0.300000,4.97600000,1.18091189,0-1
0.99047619,0.400000,5.07000000,1.18091189,0-1
0.99047619,0.500000,6.18600000,1.18091189,2-3
0.99319728,0.100000,4.46200000,1.22584768,1-2
0.99319728,0.200000,4.80800000,1.22584768,1-2
0.99319728,0.300000,4.95800000,1.22584768,1-2
0.99319728,0.400000,5.05400000,1.22584768,1-2
0.99319728,0.500000,6.18000000,1.22584768,0-3
0.99591837,0.100000,4.45000000,1.29969996,0-2
0.99591837,0.200000,4.80600000,1.29969996,0-2
0.99591837,0.300000,4.95600000,1.29969996,0-2
0.99591837,0.400000,5.05400000,1.29969996,0-2
0.99591837,0.500000,6.15200000,1.29969996,1-3
0.99863946,0.100000,4.45000000,1.20455426,1-2
0.99863946,0.200000,4.82000000,1.20455426,1-2
0.99863946,0.300000,4.96800000,1.20455426,1-2
0.99863946,0.400000,5.06800000,1.20455426,1-2
0.99863946,0.500000,6.16200000,1.20455426,0-3
1.00136054,0.100000,4.45800000,1.04764392,1-2
1.00136054,0.200000,4.84800000,1.04764392,1-2
1.00136054,0.300000,4.99600000,1.04764392,1-2
1.00136054,0.400000,5.09800000,1.04764392,1-2
1.00136054,0.500000,6.21400000,1.04764392,0-3
1.00408163,0.100000,4.47800000,1.20148251,0-1
1.00408163,0.200000,4.89000000,1.20148251,0-1
